Name,Birth,Region,Energy,CarbonDioxide,Fertility,IndustrialGrowth,Laborforce,LifeExpectancy,Unemployment
Gaza Strip,27.67,Middle East,13604000.0,3341000.0,3.44,6.22,1249000,75.4,24.9
Eritrea,27.04,Africa,3217000.0,798000.0,3.58,5.4,1675000,66.85,8.05
Pakistan,26.48,South Asia,15859000.0,193869000.0,3.46,7.81,73133000,69.67,4.35
Rwanda,26.44,Africa,1704000.0,1189000.0,3.33,13.4,6776000,65.85,1.61
Kenya,26.39,Africa,6310000.0,17709000.0,3.29,7.17,23915000,69.69,5.74
Gabon,26.03,Africa,26786000.0,2651000.0,3.31,3.2,718400,69.7,22.26
Namibia,25.01,Africa,29811000.0,3831000.0,2.98,1.44,939000,66.47,21.68
Iraq,24.7,Middle East,63174000.0,143479000.0,3.25,-1.14,11184000,73.18,14.19
Yemen,24.64,Middle East,5453000.0,10158000.0,3.01,-5.23,7299000,67.51,13.57
West Bank,24.42,Middle East,13604000.0,3341000.0,2.96,6.22,1249000,76.38,24.9
Eswatini,23.35,Africa,19371000.0,1224000.0,2.44,15.38,383500,59.69,25.76
Lesotho,23.15,Africa,7823000.0,736000.0,2.92,8.52,955600,59.57,24.6
Syria,22.72,Middle East,24567000.0,26893000.0,2.8,-14.77,6143000,74.28,10.57
Solomon Islands,22.71,Australia and Oceania,6955000.0,333000.0,2.87,-3.84,366000,76.7,1.03
Jordan,22.58,Middle East,39331000.0,23470000.0,2.96,3.02,2865000,76.01,19.25
Comoros,22.52,Africa,5346000.0,326000.0,2.78,-0.25,219900,67.2,9.45
Guatemala,22.34,Central America and the Caribbean,19411000.0,19041000.0,2.62,8.49,6671000,72.91,3.57
Philippines,22.28,East and Southeast Asia,19261000.0,142282000.0,2.78,8.49,44242000,70.14,2.41
Djibouti,22.25,Africa,8869000.0,610000.0,2.15,-4.43,240500,65.3,28.39
Oman,22.11,Middle East,292022000.0,76321000.0,2.7,1.05,2259000,76.9,3.12
Vanuatu,21.57,Australia and Oceania,10878000.0,225000.0,2.66,4.92,132700,75.14,2.18
Libya,21.56,Africa,107118000.0,38297000.0,3.09,-10.57,2280000,77.18,19.58
Egypt,21.46,Africa,40063000.0,235137000.0,2.88,-1.09,30179000,74.45,9.33
Belize,21.28,Central America and the Caribbean,31552000.0,541000.0,2.62,15.08,176900,75.82,8.22
Haiti,21.12,Central America and the Caribbean,3970000.0,3139000.0,2.43,-2.48,5010000,65.95,15.73
Laos,20.9,East and Southeast Asia,73187000.0,40726000.0,2.35,7.61,3915000,68.15,1.26
Tajikistan,20.73,Central Asia,27651000.0,7643000.0,2.45,22.04,2500000,69.36,7.75
Tonga,20.31,Australia and Oceania,22841000.0,171000.0,2.76,1.23,32000,77.53,3.97
Botswana,20.28,Africa,34095000.0,5965000.0,2.39,19.38,1050000,65.64,24.72
Kiribati,20.12,Australia and Oceania,9335000.0,76000.0,2.2,-1.57,39000,67.9,30.6
Kyrgyzstan,19.54,Central Asia,35059000.0,7880000.0,2.5,3.1,2478000,72.35,9.1
Cambodia,19.29,East and Southeast Asia,13629000.0,13844000.0,2.24,9.37,9345000,70.65,0.61
Samoa,19.21,Australia and Oceania,27111000.0,355000.0,2.42,-9.65,58400,75.19,9.84
Bolivia,18.61,South America,27094000.0,17786000.0,2.33,9.56,6322000,72.5,8.51
South Africa,18.56,Africa,98474000.0,470358000.0,2.18,6.12,22398000,65.32,33.56
Algeria,18.52,Africa,61433000.0,151633000.0,2.51,7.36,12312000,78.03,12.7
Cabo Verde,18.49,Africa,26539000.0,1002000.0,2.13,11.76,234300,73.75,15.42
Micronesia Federated States of,18.39,Australia and Oceania,0.0,177000.0,2.24,-8.33,37920,74.44,16.2
Dominican Republic,18.03,Central America and the Caribbean,39016000.0,26808000.0,2.21,15.89,5027000,72.56,8.5
Panama,17.99,Central America and the Caribbean,98946000.0,25263000.0,2.39,37.5,1966000,77.62,12.09
Honduras,17.92,Central America and the Caribbean,19800000.0,8523000.0,2.01,20.05,4314000,75.17,8.51
El Salvador,17.87,Central America and the Caribbean,24124000.0,7632000.0,2.05,9.47,2658000,75.37,5.94
Kuwait,17.78,Middle East,381985000.0,92582000.0,2.24,-12.2,2363000,79.13,3.71
Bangladesh,17.69,South Asia,9917000.0,96180000.0,2.09,10.29,70961000,74.7,5.23
Nepal,17.53,South Asia,5219000.0,7708000.0,1.9,4.51,16884000,72.4,5.05
Turkmenistan,17.51,Central Asia,330507000.0,109037000.0,2.03,1.0,1998000,71.83,5.08
Morocco,17.42,Africa,24590000.0,60200000.0,2.29,6.84,11814000,73.68,11.47
Israel,17.41,Middle East,113273000.0,61092000.0,2.56,6.05,4186000,83.35,5.05
Venezuela,17.27,South America,85829000.0,103708000.0,2.22,-2.0,10245000,73.29,6.41
Peru,17.21,South America,36465000.0,54996000.0,2.2,16.44,18352000,68.94,4.83
India,16.82,South Asia,23231000.0,2314738000.0,2.1,10.27,476670000,67.22,5.98
Guyana,16.72,South America,48608000.0,2743000.0,2.06,33.52,299300,71.87,16.42
Fiji,16.56,Australia and Oceania,32901000.0,1691000.0,2.26,-8.34,372200,74.27,5.24
Nicaragua,16.52,Central America and the Caribbean,14916000.0,4851000.0,1.8,21.28,3042000,74.78,5.96
Ecuador,16.45,South America,42564000.0,36051000.0,2.04,0.49,8528000,78.0,6.43
Burma,16.34,East and Southeast Asia,10679000.0,31848000.0,2.02,-20.65,22122000,69.92,2.17
Paraguay,16.32,South America,62775000.0,7896000.0,1.89,4.69,3430000,78.37,7.21
Brunei,16.14,East and Southeast Asia,415184000.0,9956000.0,1.74,-4.17,219800,78.38,7.65
Bhutan,15.94,South Asia,100135000.0,934000.0,1.79,1.96,361000,72.31,4.33
Jamaica,15.91,Central America and the Caribbean,49700000.0,10002000.0,2.06,2.38,1418000,75.75,9.18
Mongolia,15.84,East and Southeast Asia,83045000.0,22740000.0,1.91,-2.22,1331000,71.37,7.08
Vietnam,15.69,East and Southeast Asia,36392000.0,249929000.0,2.05,3.58,56203000,75.52,2.17
Argentina,15.58,South America,79083000.0,193205000.0,2.18,15.26,21206000,78.31,10.9
Maldives,15.54,South Asia,59690000.0,2286000.0,1.71,4.51,229300,76.94,6.08
Uzbekistan,15.53,Central Asia,57709000.0,102965000.0,1.73,8.37,14094000,75.29,7.16
Kazakhstan,15.38,Central Asia,180726000.0,263689000.0,2.11,5.1,9248000,72.53,4.9
Suriname,15.38,South America,82356000.0,2372000.0,1.92,-10.92,244200,72.42,10.06
Indonesia,15.32,East and Southeast Asia,29680000.0,563543000.0,2.01,3.42,138119000,73.08,4.41
Iran,15.27,Middle East,145540000.0,646038000.0,1.93,3.21,27682000,75.25,11.46
Colombia,15.21,South America,34703000.0,81007000.0,1.95,9.65,26137000,74.89,14.34
Antigua and Barbuda,15.16,Central America and the Caribbean,107154000.0,729000.0,1.95,8.26,30000,77.8,11.0
Faroe Islands,14.94,Europe,0.0,870000.0,2.29,3.4,27540,81.26,2.2
Kosovo,14.85,Europe,51462000.0,8009000.0,1.9,7.76,500300,71.12,30.5
Bahamas The,14.64,Central America and the Caribbean,140505000.0,3984000.0,1.98,8.51,224400,76.13,13.24
Tunisia,14.62,Africa,35620000.0,23692000.0,2.0,8.6,4226000,76.82,16.82
Malaysia,14.55,East and Southeast Asia,123755000.0,254764000.0,1.75,5.65,16740000,76.13,4.61
Costa Rica,14.28,Central America and the Caribbean,44899000.0,8115000.0,1.86,9.83,2426000,79.64,17.95
Turkey (Turkiye),14.28,Middle East,79126000.0,391792000.0,1.93,12.46,32554000,76.21,13.39
Saudi Arabia,14.22,Middle East,296949000.0,579925000.0,1.92,1.71,16060000,76.65,7.36
Korea North,14.21,East and Southeast Asia,12610000.0,18465000.0,1.9,1.0,17160000,71.77,2.59
New Caledonia,14.13,Australia and Oceania,0.0,5886000.0,1.86,3.5,132200,78.83,16.57
Brazil,13.96,South America,59444000.0,456670000.0,1.8,4.48,99470000,75.92,14.4
Grenada,13.94,Central America and the Caribbean,39799000.0,316000.0,1.93,15.33,55270,75.74,24.0
Dominica,13.91,Central America and the Caribbean,37513000.0,182000.0,2.02,5.01,25000,78.21,23.0
Sri Lanka,13.8,South Asia,17268000.0,23939000.0,1.98,5.62,8268000,78.0,5.39
Azerbaijan,13.59,Middle East,64416000.0,35389000.0,1.86,1.95,4919000,74.15,6.58
Mexico,13.55,North America,61597000.0,463739000.0,1.68,5.44,56132000,72.32,4.38
Turks and Caicos Islands,13.54,Central America and the Caribbean,0.0,245000.0,1.7,5.0,4848,80.82,10.0
Lebanon,13.1,Middle East,53528000.0,25838000.0,1.71,-6.85,1719000,78.76,14.49
New Zealand,12.78,Australia and Oceania,186804000.0,40344000.0,1.86,-2.09,2911000,82.54,4.12
Chile,12.75,South America,81953000.0,88333000.0,1.76,5.06,8684000,79.79,9.13
Uruguay,12.71,South America,66909000.0,6450000.0,1.76,5.87,1702000,78.43,10.45
Albania,12.69,Europe,38442000.0,3794000.0,1.54,16.0,1378000,79.47,11.82
Cook Islands,12.55,Australia and Oceania,0.0,114000.0,2.07,1.0,6820,77.14,13.1
Bahrain,12.4,Middle East,547976000.0,43112000.0,1.67,0.4,819100,79.9,1.87
Seychelles,12.37,Africa,163060000.0,1156000.0,1.82,3.63,51000,76.1,3.0
Ireland,12.32,Europe,133674000.0,35475000.0,1.92,20.33,2518000,81.66,6.63
Australia,12.3,Australia and Oceania,241004000.0,417870000.0,1.73,-0.55,13786000,83.09,5.11
United States,12.28,North America,304414000.0,5144361000.0,1.84,3.25,164797000,80.59,5.46
Saint Vincent and the Grenadines,12.27,Central America and the Caribbean,27821000.0,202000.0,1.75,5.7,51700,76.68,21.62
Saint Kitts and Nevis,12.24,Central America and the Caribbean,71960000.0,268000.0,1.76,1.55,18170,77.08,4.5
Saint Lucia,12.02,Central America and the Caribbean,50872000.0,659000.0,1.72,10.8,99900,78.95,16.91
Norway,12.0,Europe,333833000.0,36731000.0,1.83,2.19,2971000,82.55,4.99
Cayman Islands,11.69,Central America and the Caribbean,175578000.0,808000.0,1.82,-3.36,39000,82.04,4.0
France,11.66,Europe,151053000.0,338425000.0,2.03,6.98,31132000,82.59,8.06
Luxembourg,11.61,Europe,310068000.0,11308000.0,1.63,2.87,333900,82.98,5.23
Denmark,11.22,Europe,124163000.0,33850000.0,1.77,5.25,3051000,81.66,4.8
Montenegro,11.19,Europe,77286000.0,2447000.0,1.81,1.39,277400,77.75,18.49
Armenia,11.1,Middle East,53019000.0,6354000.0,1.65,3.4,1153000,76.13,20.9
Bermuda,11.03,North America,176312000.0,796000.0,1.9,0.1,33480,82.04,7.0
Georgia,11.0,Middle East,63286000.0,10299000.0,1.75,2.4,1724000,77.5,10.66
Netherlands,10.99,Europe,219606000.0,214416000.0,1.78,4.93,9902000,82.16,4.01
Belgium,10.95,Europe,234216000.0,128247000.0,1.77,1.28,5240000,81.86,6.42
British Virgin Islands,10.95,Central America and the Caribbean,80136000.0,173000.0,1.35,1.1,12770,79.67,2.9
Montserrat,10.9,Central America and the Caribbean,0.0,33000.0,1.32,-21.0,4521,75.7,5.6
Barbados,10.83,Central America and the Caribbean,83723000.0,1703000.0,1.7,-0.6,139100,78.55,10.41
Sweden,10.83,Europe,210882000.0,48144000.0,1.67,5.72,5556000,82.7,8.66
United Arab Emirates,10.81,Middle East,471788000.0,276236000.0,1.64,2.54,6074000,79.56,3.36
United Kingdom,10.79,Europe,119894000.0,398084000.0,1.63,9.12,34637000,81.94,4.53
Cyprus,10.57,Europe,133920000.0,8024000.0,1.48,8.1,655100,79.74,6.13
North Macedonia,10.45,Europe,53572000.0,7383000.0,1.51,-2.37,916200,76.84,16.2
Finland,10.42,Europe,216571000.0,41996000.0,1.74,2.77,2820000,81.76,7.53
Switzerland,10.36,Europe,137918000.0,38739000.0,1.58,7.91,4963000,83.23,5.32
Moldova,10.19,Europe,40398000.0,8114000.0,1.59,-0.67,810000,72.44,3.96
Canada,10.17,North America,403700000.0,612084000.0,1.57,4.74,21017000,83.8,7.51
Thailand,10.14,East and Southeast Asia,76714000.0,305273000.0,1.54,3.34,40213000,77.66,1.42
Cuba,10.11,Central America and the Caribbean,32785000.0,16478000.0,1.71,-6.75,5135000,79.64,2.76
China,9.93,East and Southeast Asia,105687000.0,10773248000.0,1.45,8.22,791383000,77.72,4.82
Mauritius,9.86,Africa,79448000.0,7191000.0,1.35,20.88,597900,74.86,7.41
Malta,9.73,Europe,267739000.0,9576000.0,1.5,-3.3,280300,83.2,3.5
Austria,9.45,Europe,171299000.0,65540000.0,1.51,6.77,4661000,82.27,6.3
Russia,9.45,Central Asia,227898000.0,1848070000.0,1.6,4.9,72444000,72.44,5.01
Qatar,9.33,Middle East,723582000.0,111922000.0,1.9,0.66,1977000,79.81,0.26
Lithuania,9.26,Europe,101651000.0,14503000.0,1.61,8.58,1476000,75.78,7.9
Macau,9.11,East and Southeast Asia,81407000.0,2012000.0,1.22,5.17,404500,84.98,3.01
Belarus,9.08,Europe,102558000.0,54695000.0,1.51,6.7,4950000,74.28,4.74
Germany,9.08,Europe,161174000.0,726881000.0,1.57,3.61,43968000,81.51,3.54
Singapore,9.05,East and Southeast Asia,639951000.0,238983000.0,1.16,13.32,3290000,86.35,3.62
Ukraine,9.0,Europe,82571000.0,185686000.0,1.56,2.57,20463000,73.45,8.88
Slovakia,8.94,Europe,129665000.0,32506000.0,1.46,2.46,2766000,78.31,6.74
Serbia,8.92,Europe,98195000.0,47735000.0,1.46,8.63,3176000,74.17,11.81
Romania,8.76,Europe,71736000.0,68746000.0,1.63,4.07,8381000,75.75,5.17
Estonia,8.75,Europe,76329000.0,4924000.0,1.61,7.13,704700,77.88,6.33
Latvia,8.73,Europe,86645000.0,8450000.0,1.54,1.93,955000,75.91,7.6
Croatia,8.65,Europe,89733000.0,16752000.0,1.45,9.11,1742000,77.22,8.68
Hungary,8.65,Europe,108212000.0,48589000.0,1.48,6.64,4910000,77.2,4.12
Czechia,8.59,Europe,161972000.0,99533000.0,1.49,3.3,5266000,79.73,2.89
Poland,8.5,Europe,112831000.0,304040000.0,1.4,3.36,18212000,78.76,3.37
Bosnia and Herzegovina,8.41,Europe,71815000.0,16209000.0,1.36,8.87,1169000,77.98,15.22
Slovenia,8.3,Europe,134836000.0,13553000.0,1.6,9.43,1036000,81.82,4.42
Bulgaria,8.05,Europe,103924000.0,38373000.0,1.5,1.72,3291000,75.57,5.42
Hong Kong,8.04,East and Southeast Asia,172009000.0,92493000.0,1.22,2.08,3842000,83.61,5.32
Portugal,8.0,Europe,101734000.0,50370000.0,1.43,5.63,5174000,81.5,6.65
Puerto Rico,7.87,Central America and the Caribbean,94379000.0,18999000.0,1.24,-2.1,1136000,81.68,8.27
Greece,7.61,Europe,108022000.0,70163000.0,1.4,10.67,4619000,81.49,14.8
Taiwan,7.39,East and Southeast Asia,160669000.0,279206000.0,1.08,3.9,11498000,81.16,3.73
Spain,7.13,Europe,122673000.0,280624000.0,1.27,4.03,23382000,82.55,14.73
Italy,6.95,Europe,112606000.0,332041000.0,1.22,13.46,25012000,82.59,9.83
Japan,6.95,East and Southeast Asia,147107000.0,1103234000.0,1.38,-4.33,68629000,84.83,2.8
Korea South,6.92,East and Southeast Asia,242346000.0,686954000.0,1.1,5.09,28674000,82.97,3.53
